epoch,loss,cer_train,wer_train,exact_match_train,avg_edit_distance_train
1,15.435391187667847,1.0,1.0,0.0,10.25
2,5.11181104183197,1.0,1.0,0.0,10.25
3,4.413736820220947,1.0,1.0,0.0,10.25
4,3.9391375184059143,1.0,1.0,0.0,10.25
5,3.849261701107025,1.0,1.0,0.0,10.25
6,3.987463355064392,1.0,1.0,0.0,10.25
7,3.7338377833366394,1.0,1.0,0.0,10.25
8,3.716611087322235,1.0,1.0,0.0,10.25
9,3.708600699901581,1.0,1.0,0.0,10.25
10,3.647799551486969,1.0,1.0,0.0,10.25
11,3.7191092371940613,1.0,1.0,0.0,10.25
12,3.6511127948760986,1.0,1.0,0.0,10.25
13,3.6756930351257324,1.0,1.0,0.0,10.25
14,3.5990920066833496,1.0,1.0,0.0,10.25
15,3.5918867588043213,1.0,1.0,0.0,10.25
16,3.648246943950653,1.0,1.0,0.0,10.25
17,3.5587456226348877,1.0,1.0,0.0,10.25
18,3.6095800399780273,1.0,1.0,0.0,10.25
19,3.5328850746154785,1.0,1.0,0.0,10.25
20,3.6175659894943237,1.0,1.0,0.0,10.25
21,3.568467378616333,1.0,1.0,0.0,10.25
22,3.8244934678077698,0.9939024448394775,1.0,0.0,10.1875
23,3.638867437839508,1.0,1.0,0.0,10.25
24,3.6204009652137756,1.0,1.0,0.0,10.25
25,3.6042580008506775,0.9939024448394775,1.0,0.0,10.1875
26,3.5190276503562927,0.9939024448394775,1.0,0.0,10.1875
27,3.5236282348632812,0.9939024448394775,1.0,0.0,10.1875
28,3.508197784423828,0.9939024448394775,1.0,0.0,10.1875
29,3.4572306275367737,0.9939024448394775,1.0,0.0,10.1875
30,3.4490855932235718,0.9817073345184326,1.0,0.0,10.0625
31,3.4751462936401367,0.9817073345184326,1.0,0.0,10.0625
32,3.357840657234192,0.9756097793579102,1.0,0.0,10.0
33,3.3997058272361755,0.9634146094322205,1.0,0.0,9.875
34,3.4442203640937805,0.9634146094322205,1.0,0.0,9.875
35,3.395556628704071,0.9634146094322205,1.0,0.0,9.875
36,3.3313575983047485,0.9634146094322205,1.0,0.0,9.875
37,3.3650007247924805,0.957317054271698,1.0,0.0,9.8125
38,3.355574905872345,0.957317054271698,1.0,0.0,9.8125
39,3.297679126262665,0.9634146094322205,1.0,0.0,9.875
40,3.3271764516830444,0.957317054271698,1.0,0.0,9.8125
41,3.269452154636383,0.9451219439506531,1.0,0.0,9.6875
42,3.327051818370819,0.957317054271698,1.0,0.0,9.8125
43,3.294169306755066,0.9390243887901306,1.0,0.0,9.625
44,3.2057462334632874,0.9207317233085632,1.0,0.0,9.4375
45,3.2159656286239624,0.9268292784690857,1.0,0.0,9.5
46,3.229145586490631,0.9329268336296082,1.0,0.0,9.5625
47,3.1911789774894714,0.9268292784690857,1.0,0.0,9.5
48,3.162349045276642,0.9268292784690857,1.0,0.0,9.5
49,3.1667186617851257,0.9207317233085632,1.0,0.0,9.4375
50,3.211675226688385,0.8963414430618286,1.0344827586206897,0.0,9.1875
51,3.1628679633140564,0.8780487775802612,1.0,0.0,9.0
52,3.1936510801315308,0.8780487775802612,1.0344827586206897,0.0,9.0
53,3.1511260271072388,0.8780487775802612,0.9655172413793104,0.0,9.0
54,3.119433045387268,0.8780487775802612,1.0,0.0,9.0
55,3.0821601152420044,0.8841463327407837,1.0,0.0,9.0625
56,3.0639965534210205,0.8963414430618286,1.0,0.0,9.1875
57,3.05144202709198,0.8841463327407837,1.0,0.0,9.0625
58,3.040244996547699,0.8841463327407837,1.0,0.0,9.0625
59,3.0266565084457397,0.8719512224197388,1.0,0.0,8.9375
60,2.9824711084365845,0.8719512224197388,0.9655172413793104,0.0,8.9375
61,2.9952860474586487,0.8719512224197388,1.0,0.0,8.9375
62,2.9884511828422546,0.8658536672592163,1.0,0.0,8.875
63,2.9380021691322327,0.8597561120986938,1.0,0.0,8.8125
64,2.922595798969269,0.8597561120986938,1.0,0.0,8.8125
65,2.893782377243042,0.8658536672592163,1.0,0.0,8.875
66,2.8867183923721313,0.8353658318519592,1.0344827586206897,0.0,8.5625
67,2.932145595550537,0.8597561120986938,1.0,0.0,8.8125
68,2.8359793424606323,0.8109756112098694,1.0344827586206897,0.0,8.3125
69,2.849767029285431,0.8475610017776489,1.0344827586206897,0.0,8.6875
70,2.898658871650696,0.8170731663703918,1.0344827586206897,0.0,8.375
71,2.776161789894104,0.792682945728302,1.0,0.0,8.125
72,2.761599361896515,0.7865853905677795,1.0344827586206897,0.0,8.0625
73,2.785868763923645,0.7804877758026123,1.0689655172413792,0.0,8.0
74,2.672251284122467,0.7987805008888245,1.0344827586206897,0.0,8.1875
